addgene_id	name	content
50267	pICH51266	promoter (1.3 kb ), 35s (Cauliflower Mosaic Virus) + 5'UTR Ω (Tobacco Mosaic Virus)
50266	pICSL13002	promoter (0.4 kb ) + 5'UTR, 35s (Cauliflower Mosaic Virus)
50265	pICSL13001	promoter (1.3 kb) + 5'UTR, 35s (Cauliflower Mosaic Virus)
50262	pICH45131	promoter, LHB1B2 (AT2g34420, A. thaliana)
50261	pICH45125	promoter, LHB1B1 (AT2g34430, A. thaliana)
50259	pICH45173	promoter, RbcS1B (AT5g38430, A. thaliana)
50258	pICH44157	promoter, RbcS2B (AT5g38420, A. thaliana)
50257	pICH42760	promoter, spm (Z. mays)
50256	pICH50581	promoter, act2 (AT3G18780, Arabidopsis thaliana)
50255	pICH42211	promoter nos (A. tumefaciens)
50254	pICH45089	promoter (double), 35s (Cauliflower Mosaic Virus)
50253	pICH41388	promoter (0.4 kb), 35s (Cauliflower Mosaic Virus)
50252	pICH41373	promoter (1.3 kb), 35s (Cauliflower Mosaic Virus)
